# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
6.0,-0.70225,0,6,12.7646
4.0,-0.136282,0,4,12.779233
4.0,-0.438381,0,4,12.793186
9.0,-1.724366,0,9,12.819578
8.0,-4.154257,0,8,12.843896
6.0,-2.989277,0,6,12.861807
7.0,-0.751968,0,7,12.88411
5.0,-1.0174,0,5,12.899673
8.0,-3.788985,0,8,12.923369
10.0,-5.009402,0,10,12.95301
8.0,-0.04898,0,8,12.981321
11.0,-0.226998,0,11,13.02071
4.0,-0.210419,0,4,13.035047
4.0,-1.242626,0,4,13.047699
11.0,-10.501903,0,11,13.080131
5.0,-2.029516,0,5,13.09518
7.0,-0.128666,0,7,13.119037
4.0,-1.157073,0,4,13.13172
15.0,-0.418015,0,15,13.182025
10.0,-0.132684,0,10,13.214998
7.0,-2.095672,0,7,13.236321
5.0,-5.144136,0,5,13.25122
11.0,-8.960232,0,11,13.283633
4.0,-0.084188,0,4,13.29675
6.0,-0.916421,0,6,13.314893
4.0,-3.000776,0,4,14.290551
5.0,-2.142955,0,5,14.305223
7.0,-0.318589,0,7,14.327626
5.0,-1.539433,0,5,14.342949
9.0,-0.588111,0,9,14.372139
7.0,-1.293654,0,7,14.393133
6.0,-1.142509,0,6,14.411068
6.0,-3.156282,0,6,14.428944
5.0,-0.340489,0,5,14.445456
8.0,-2.01155,0,8,14.469024
5.0,-1.747695,0,5,14.484236
7.0,-8.135491,0,7,14.505193
7.0,-6.74349,0,7,14.525952
8.0,-0.623608,0,8,14.55171
5.0,-0.131603,0,5,14.568667
4.0,-0.033621,0,4,14.58249
5.0,-0.133271,0,5,14.600053
19.0,-10.535297,0,19,14.656681
4.0,-0.123682,0,4,14.670227
5.0,-1.143298,0,5,14.685509
5.0,-1.49755,0,5,14.700429
5.0,-0.031254,0,5,14.71731
9.0,-0.128584,0,9,14.748758
5.0,-1.863854,0,5,14.76416
4.0,-0.353818,0,4,14.776742
7.0,-0.187749,0,7,14.801463
6.0,-0.029052,0,6,14.82274
