# {"t_start": 1562362757.4367013, "env_id": "ReacherGP-v2"} 
r,c,violation,l,t
-12.521545,-46.743192,36,50,908.149056
-12.152832,-46.098808,33,50,909.999953
-12.332506,-44.393097,32,50,911.895934
-7.047384,-38.152194,29,50,914.056265
-11.063129,-43.048403,30,50,916.164004
-7.625176,-42.616153,30,50,917.995166
-10.425841,-46.557608,36,50,920.064468
-10.618785,-39.357941,31,50,922.321126
-10.712961,-45.749447,34,50,924.191702
-8.107165,-46.072828,36,50,926.03644
-9.480605,-40.216156,31,50,928.333883
-8.884287,-35.62733,22,50,930.410662
-10.502922,-39.632408,28,50,932.239435
-10.360328,-37.952011,24,50,934.237858
-9.914165,-47.097017,35,50,936.346249
-8.152988,-45.122939,34,50,938.393944
-7.561534,-31.068235,16,50,940.216882
-10.917067,-43.980802,31,50,942.109372
-8.348887,-42.640728,27,50,944.225897
-6.626016,-47.175064,34,50,946.310502
-12.82058,-49.472949,38,50,948.137404
-6.04905,-44.881015,33,50,950.067718
-8.046696,-44.632625,33,50,952.267657
-9.940231,-38.071624,25,50,954.299248
-8.557719,-45.281683,35,50,956.153297
-9.868767,-38.842588,28,50,958.089054
-6.659533,-43.231684,31,50,960.275846
-8.840769,-29.222542,17,50,962.265593
-10.262936,-34.002681,22,50,964.113117
-11.741854,-44.021586,33,50,966.143722
-10.028918,-49.37769,39,50,968.182606
-11.14827,-46.802891,34,50,970.386533
-10.827982,-39.793588,33,50,972.301597
-8.915833,-43.117495,33,50,974.108475
-7.591911,-32.881333,21,50,976.16213
-7.036592,-46.537418,35,50,978.342776
-6.419582,-46.796879,34,50,980.266882
-9.42277,-45.61431,35,50,982.084034
-7.861376,-39.993084,31,50,984.215227
-9.161443,-43.821234,35,50,986.539202
-8.674722,-32.157033,20,50,988.382499
-9.019959,-32.501562,21,50,990.239245
-10.806712,-45.814031,37,50,992.517387
-10.110356,-34.340852,24,50,994.610712
-8.395604,-22.771415,4,50,996.42321
-7.350354,-38.168407,27,50,998.400095
-9.549818,-22.292112,8,50,1000.627835
-9.118217,-42.025188,32,50,1002.671745
-7.237219,-24.70336,8,50,1004.568658
-5.569638,-41.958415,35,50,1006.523511
-9.447952,-50.613609,33,50,1008.765574
-8.182713,-45.605316,36,50,1010.685482
-7.942983,-37.804946,33,50,1012.288716
-7.542068,-39.142441,29,50,1014.02867
-9.791582,-16.885147,5,50,1015.793681
-11.830818,-32.072858,25,50,1017.529062
-7.37936,-49.822282,36,50,1019.299512
-9.708798,-21.586063,5,50,1021.045743
-11.185642,-26.971308,10,50,1022.781368
-8.322775,-22.788254,11,50,1024.634202
-11.207833,-49.600197,36,50,1026.384874
-7.028452,-27.837124,15,50,1028.055929
-7.216423,-31.536659,23,50,1029.830673
-8.370136,-23.632329,10,50,1031.622619
-6.182472,-12.301347,5,50,1033.365531
-9.036371,-45.283104,35,50,1035.088749
-9.758262,-47.908567,38,50,1036.85061
-4.457462,-7.424499,0,50,1038.560664
-7.844036,-27.175446,15,50,1040.302583
-6.459468,-22.511536,15,50,1042.046346
-13.377507,-26.009772,14,50,1043.820644
-8.435227,-25.689469,12,50,1045.526297
-5.543386,-18.460254,9,50,1047.155998
-10.157603,-41.192327,34,50,1048.815082
-6.160477,-29.750683,23,50,1050.491418
-8.74435,-32.785222,21,50,1052.215489
-10.243412,-29.259194,12,50,1053.973399
-9.193922,-42.94866,34,50,1055.724531
-6.039311,-29.540386,23,50,1057.447196
-8.438472,-40.914316,32,50,1059.313946
-9.59248,-44.685997,35,50,1061.088909
-9.165462,-43.937592,33,50,1062.859931
-11.715522,-39.323334,29,50,1064.623332
-7.177071,-35.073773,26,50,1066.31864
-4.544313,-10.147676,4,50,1068.06327
-9.03987,-37.038437,27,50,1069.830493
-5.043225,-31.67682,19,50,1071.555304
-11.788975,-26.251219,15,50,1073.320472
